APK tot;Bouwjaar;Brandstof;Carrosserie;Kenteken;Kilometerstand;Kosten p/m;Merk & Model;Motorinhoud;Opties;Prijs;SellersName;Transmissie;Uitvoering;Vermogen;adDate;description;location;saved;url;views;Centrale vergrendeling;USB;Airconditioning;Elektrische ramen;Lichtmetalen velgen;Metallic lak;Trekhaak;Cruise Control;Bluetooth;Radio;ABS;Airbags;Boordcomputer;Schuifdeur;/0;Datum van registratie;Parkeersensor;Alarm;Elektrische buitenspiegels;Topsnelheid;Startonderbreker;Traction-control;Mistlampen;Verwarmde buitenspiegels;Energielabel;Verbruik;Electronic Stability Program (ESP);Bekleding leder;APK;Navigatiesysteem;Climate control;4x4;Parkeerassistent;Parkeercamera;Open dak;Stoelverwarming;Isofix;Stuurwielverwarming;Emergency brake assist;Xenon verlichting;Garantie;Sportpakket;Sportstoelen;Adaptive Cruise Control;Elektrische stoelverstelling;Elektrische achterklep;Adaptieve lichten;Panoramadak;Keyless entry;Spraakbediening;Dodehoekdetectie
08 mei 2020;2008;Diesel;Gesloten Wagen;65-VNV-2;249751;;Volkswagen Transporter;2.460 cc;;4850;;Automaat 6 versnellingen;2.5 TDI 174 PK AUT. 340 L2H1 DUBBEL CABINE + NAVIGATIE;175;18 mei '20, 14:21;"AUTOMAAT DEFECT! De automaat slipt behoorlijk, is in rijdbare staat, maar moet wel gerepareerd of vervangen worden. Verlengde dubbel cabine uitvoering L2H1 met 340 cm wielbasis, 2.5 TDI 174 PK Automaat,...

Volkswagen Transporter 2.5 TDI 174 PK AUT. 340 L2H1 DUBBEL CABINE + NAVIGATIE

Algemene gegevens

Tellerstand: 249.751 km
Carrosserievorm: Bestelauto
Aantal deuren: 4
Brandstofsoort: Diesel
Bouwjaar: mrt 2008
Transmissie: Automaat
Kleur: Blauw metallic

Technische gegevens

Motorinhoud: 2.460 cc
Aantal cilinders: 5
Vermogen: 129 kW (175 PK)
Wielbasis: 340 cm
Ledig gewicht: 2.020 kg
Laadvermogen: 780 kg
GVW: 2.800 kg

Functionaliteit

Aantal zitplaatsen: 6
Lengte/hoogte: L2H1

Financiële gegevens

Motorrijtuigenbelasting: € 121 per kwartaal
BTW/Marge: excl. BTW

Exterieur
Achterklep met ruit
Centrale deurvergrendeling met afstandsbediening
Elektronisch Sper Differentieel
Lichtmetalen velgen
Metaalkleur
Parkeersensor achter
Trekhaak
Warmtewerend glas
Zijschuifdeur rechts

Infotainment
Autotelefoon voorbereiding
Multimedia systeem

Interieur
Airco
Boordcomputer
Cruise control
Stuurbekrachtiging
Stuur verstelbaar

Veiligheid
Airbag bestuurder
Alarm klasse 1(startblokkering)
Anti Blokkeer Systeem
Anti doorSlip Regeling


AUTOMAAT DEFECT! De automaat slipt behoorlijk, is in rijdbare staat, maar moet wel gerepareerd of vervangen worden. Verlengde dubbel cabine uitvoering L2H1 met 340 cm wielbasis, 2.5 TDI 174 PK Automaat, Dubbel cabine met 5 zitplaatsen, Touch-screen multimediasysteem, Airco, Cruise control, Trekhaak, Parkeersensoren, Armleuningen, Bumpers in carrosseriekleur gespoten, Lichtmetalen velgen, Houten laadvloer, Prijs is exclusief BTW.

Géén gewijzigde openingstijden i.v.m. het Coronavirus: iedere werkdag geopend van 08.00 tot 21.00 uur en zaterdag van 09.00 tot 17.00 uur. Wij hebben een buitenterrein van ruim 10.000 vierkante meter en een ruime showroom, er is dus ruimte genoeg om de 1,5 meter afstand te houden. De door ons genoemde communicatieadviesprijzen zijn inclusief onvermijdbare kosten benodigd voor levering van de auto. Optionele pakketten en-/of uitrusting zijn altijd een keuze van de consument en worden tegen meerprijs geleverd. Voor meer foto's van dit voertuig bezoekt u onze website www.hazet.nl.
Inruil- en financiering van uw auto is mogelijk. Tevens financial lease beschikbaar met zeer gunstige tarieven en acceptatievoorwaarden, ook voor ZZP’ers. Ons adres: Transitoweg 2, 4051 CA, Ochten. Wij zijn telefonisch bereikbaar op: +31344642819 en tijdens openingstijden via Whatsapp: +31633025511 (bellen naar dit nummer is niet mogelijk).";Ochten;8;https://link.marktplaats.nl/m1552505059;171;true;;true;;true;true;true;true;;true;true;;true;true;true;19 maart 2008;true;true;;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25 oktober 2020;2006;Diesel;Gesloten Wagen;30-VBG-5;224245;;Volkswagen Transporter;1.896 cc;;1750;;Handgeschakeld 5 versnellingen;1.9 TDI 300 T800 Baseline;86;17 apr. '20, 13:08; deze Vw transporter loopt en rijdt goed!  let op heeft veel deuken en lak beschadigingen!  prijs is excl btw  motor en gearbox 100%  price is excl btw  Volkswagen Transporter 1.9 TDI 300 T800 Baseline  Carrosserievorm: Bestelauto Transmissie: 5 versnellingen, Handgeschakeld Kleur: Wit Aandrijving: Voorwielaandrijving Aantal cilinders: 4 Ledig gewicht: 1.692 kg Laadvermogen: 908 kg GVW: 2.600 kg Max. trekgewicht: 2.200 kg Wielbasis: 300 cm Bekleding: Stof Interieurkleur: Lichtgrijs Aantal zitplaatsen: 2 Aantal sleutels: 2 (2 handzenders) BTW: De getoonde prijs is exclusief BTW BTW/marge: BTW verrekenbaar voor ondernemers Motorrijtuigenbelasting: € 104 per kwartaal  Optiepakketten Comfort-pakket (Bestuurdersstoel in hoogte verstelbaar, Buitenspiegels elektrisch verstelbaar, Centrale deurvergrendeling, Elektrische ramen voor, Lendesteunen (verstelbaar))  Comfort & Interieur Bestuurdersstoel in hoogte verstelbaar Elektrische ramen voor Lendesteunen (verstelbaar) Stuurbekrachtiging Stuur verstelbaar  Exterieur Achterklep met ruit Buitenspiegels elektrisch verstelbaar Centrale deurvergrendeling Elektronisch sperdifferentieel Warmtewerend glas Zijschuifdeur rechts  Veiligheid ABS Airbag bestuurder Anti Blokkeer Systeem Anti Slip Control Automatisch Sper Differentieel Startblokkering Traction control   Voor een bezichtiging van een occasion bij ons is het verstandig om een telefonische afspraak te maken, dit voor de beschikbaarheid van de occasion en de wisselende openingstijden. Op afspraak ook in de avonduren of op zondag bezichtiging mogelijk. Inruil is alleen mogelijk tegen handelsprijs!!  MS Auto's Eindhovensebaan 7d 6031NB Nederweert tel. 0646144039 martijnspitters@hotmail.com  MS Auto's Eindhovensebaan 7-D 6031NB NEDERWEERT Tel: 0646144039 E-mail: martijnspitters@hotmail.com;Nederweert;5;https://link.marktplaats.nl/m1538098004;570;true;;;true;;;;;;;true;;;true;true;20 oktober 2006;;;true;146 km/h;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12 juli 2020;2007;Diesel;Gesloten Wagen;54-VGG-5;209222;;Volkswagen Transporter;2.461 cc;;6499;;Handgeschakeld 6 versnellingen;BESTEL 2.5 TDI 96KW;130;18 mei '20, 21:05;"Algemene gegevens
Kilometerstand: 209.222 km
Carrosserievorm: Bedrijfsauto
Aantal deuren: 4
Brandstofsoort: Diesel
Bouwjaar: 2007
Versnellingstype: H6
Kleur: Blauw
Boekjes: Nee

Technische gegevens
Cilinderinhoud: 2461 cc
Aantal cilinders: 5
Vermogen: 96 kW / 130 pk
Ledig gewicht: 1897 kg

Financiele gegevens
Wegenbelasting: € 118 - € 118 per kwartaal
APK datum: 12-07-2020
BTW/Marge: BTW

Opties en accessoires
2 Sleutels
2 sluitels
2 zitplaatsen rechtsvoor
ABS
achterklep met ruit
achterruitwisser
airco
ASR
bestuurdersairbag
boordcomputer
buitensp. elektr. + verw.
buitensp. elektr. + verw.
c.deurv. met afst.bed.
c.deurv. met afst.bed.
c.deurv. met afst.bed.
dubbele airbag
elektrische ramen voor
elektrische ramen voor
ESD
Inruil is mogelijk
lichtmetalen velgen 16""
metaalkleur
parkeersensor achter
startblokkering
stuurbekrachtiging
Trekhaak
verstelbaar stuur
warmtewerend glas
zijschuifdeur rechts

De meeste auto's zijn direct leverbaar (informeer vooraf bij de verkoper)
Inruilen is altijd mogelijk. Auto/caravan/boot/motor.
Wij adverteren uitsluitend met orginele kilometerstanden.
Bij ons betaald u GEEN extra afleverkosten !!
Voor vragen of een afspraak kunt u ons bellen op tel.nr. 0492 368069 of 0614217103
Koffie staat altijd voor u klaar!!!
Neef Auto's
Molenrand 7b
5421 VZ Gemert";Gemert;3;https://link.marktplaats.nl/m1552692147;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06 september 2020;2008;Diesel;Gesloten Wagen;74-VVJ-1;336201;;Volkswagen Transporter;2.460 cc;;2448;;Handgeschakeld 6 versnellingen;2.5 TDI 340 MHD;131;18 mei '20, 17:40;"Deze auto heeft een probleem aan de nokkenas versteller.
This car has a problem with the camshaft adjuster.
Dieses Auto hat ein Problem mit dem Nockenwellenversteller.
Cette voiture a un problème avec le...

Volkswagen Transporter 2.5 TDI 340 MHD | Airco | Elektrische ramen | LEES TEKST |

Algemene gegevens

Tellerstand: 336.201 km
Carrosserievorm: Bestelauto
Aantal deuren: 4
Brandstofsoort: Diesel
Bouwjaar: sep 2008
Transmissie: Handgeschakeld
Kleur: Beige metallic
Interieurkleur: Antraciet
Bekleding: Stof
Onderhoudsboekjes: Aanwezig

Technische gegevens

Motorinhoud: 2.460 cc
Aantal cilinders: 5
Vermogen: 96 kW (131 PK)
Wielbasis: 340 cm
Ledig gewicht: 1.806 kg
Laadvermogen: 1.394 kg
GVW: 3.200 kg
Max. trekgewicht: 2.500 kg

Functionaliteit

Aantal zitplaatsen: 3
Cabine: enkel
Lengte/hoogte: L2H1

Financiële gegevens

Motorrijtuigenbelasting: € 109 per kwartaal
BTW/Marge: excl. BTW

Exterieur
Achterklep met ruit
Elektronisch Sper Differentieel
Warmtewerend glas
Zijschuifdeur rechts

Interieur
Boordcomputer
Stuurbekrachtiging
Stuur verstelbaar

Veiligheid
Airbag bestuurder
Alarm klasse 1(startblokkering)
Anti Blokkeer Systeem
Anti doorSlip Regeling


Deze auto heeft een probleem aan de nokkenas versteller.
This car has a problem with the camshaft adjuster.
Dieses Auto hat ein Problem mit dem Nockenwellenversteller.
Cette voiture a un problème avec le régleur d'arbre à cames.
Ten samochód ma problem z regulatorem wałka rozrządu.
У цього автомобіля є проблема з регулювачем розподільного вала.

De auto staat ex.BTW geprijsd.

Kijk voor meer foto's op onze eigen website!

Dit is een NETTO meeneem prijs, dus geen afleveringskosten!

Inruil of financiering zijn uiteraard mogelijk op deze auto.

De auto komen bekijken dat kan! u vindt ons aan de Kapitein Nemostraat 18 in Emmen.
Bellen alvorens u komt heeft onze voorkeur om teleurstelling te voorkomen.

Openingstijden:
Ma t/m VR 08:00 uur tot 17:30 uur.
Zaterdag 08:30 uur tot 17:00 uur.
Zondag gesloten.

0591-820350

van Leeuwen Auto's
Kapitein Nemostraat 18
7821AC EMMEN
Tel: 0591-820350
E-mail: info@vanleeuwenemmen.nl";Emmen;3;https://link.marktplaats.nl/m1552598736;88;;;;;;true;;;;;true;;true;true;true;05 september 2008;;true;;;true;true;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17 september 2020;2010;Diesel;Gesloten Wagen;4-VGD-53;255493;;Volkswagen Transporter;1.968 cc;;7945;;Handgeschakeld;2.0 TDI L1H1 DC Comfortline , AIRCO;102;18 mei '20, 19:13;"Volkswagen Transporter 2.0 TDI L1H1 DC Comfortline , AIRCO

Carrosserievorm: Bestelauto
Transmissie: 6 versnellingen, Handgeschakeld
Kleur: Zilver metallic
Aandrijving: Voorwielaandrijving
Aantal cilinders: 4
Ledig gewicht: 1.988 kg
Laadvermogen: 818 kg
GVW: 2.600 kg
Wielbasis: 300 cm
Acceleratie (0-100): 15,3 s
Topsnelheid: 157 km/u
Bekleding: Stof
Interieurkleur: Donkergrijs
Aantal zitplaatsen: 5
Brandstofverbruik in de stad: 9,5 l/100km (1 op 10,5)
Brandstofverbruik op de snelweg: 6,1 l/100km (1 op 16,4)
CO2 uitstoot: 193 g/km
Emissieklasse: Euro 5
Onderhoudsboekjes: Aanwezig (dealer onderhouden)
Aantal sleutels: 2 (2 handzenders)
BTW: De getoonde prijs is exclusief BTW
BTW/marge: BTW verrekenbaar voor ondernemers
Motorrijtuigenbelasting: € 121 per kwartaal

Optiepakketten
Elektrisch-pakket (Buitenspiegels elektrisch inklapbaar, Buitenspiegels elektrisch verstelbaar, Buitenspiegels verwarmbaar, Centrale deurvergrendeling met afstandsbediening, Elektrische ramen voor)

Opties en accessoires
ABS
Achterklep met ruit
Airbag bestuurder
Airbag passagier
Anti Blokkeer Systeem
Anti Slip Control
Automatisch Sper Differentieel
Boordcomputer
Buitenspiegels elektrisch inklapbaar
Buitenspiegels elektrisch verstelbaar
Buitenspiegels verwarmbaar
Bumpers in carrosseriekleur
Centrale deurvergrendeling met afstandsbediening
Electronic Stability Program
Elektrische ramen voor
Elektronisch sperdifferentieel
ESP
Startblokkering
Traction control
Trekhaak
Zijschuifdeur rechts


Beste klant,

Bedankt voor het kiezen voor een occasion bij Auto de Vaart het grootste autogroothandel centrum van Almere en omgeving.

Auto de Vaart is een BOVAG en RDW erkend bedrijf en heeft een overdekte showroom van 1500m2 en een buitenterrein van 1000 m2 waar we altijd gemiddeld tussen de 75 en 100 occasions op voorraad hebben.

De door ons genoemde prijs op internet is een zo meenemen prijs inclusief 1 jaar gratis APK, en kleine beurt.

Optionele pakketen zoals BOVAG garantie, HUIS garantie, en-/of eventuele extra accessoires zijn altijd een keuze van de consument en worden tegen meerprijs geleverd.

AANKOOPKEURING OP ELKE OCCASION BIJ ONS TOEGESTAAN

BENT U NIET TEVREDEN? DAN KUNT U UW GEKOCHTE AUTO BINNEN 2 WEKEN EENMALIG OMRUILEN TEGEN EEN ANDERE AUTO BIJ ONS

Inruil- en financiering van uw auto is mogelijk. Tevens financial lease beschikbaar met zeer gunstige tarieven en acceptatievoorwaarden, ook voor ZZP’ers.

Kijk voor onze openingstijden op www.autodevaart.nl


Disclaimer
Hoewel aan de informatie van deze website de grootst mogelijke zorg wordt besteed, kan VWE of de adverteerder niet aansprakelijk worden gesteld voor eventuele onjuiste informatie van welke aard dan ook. Voor de exacte uitvoering en beschikbaarheid van de auto kunt u contact opnemen met de adverteerder.

Auto De Vaart
Remmingweg 22
1332BG ALMERE
Tel: 0367604970
E-mail: info@autodevaart.nl";Almere;1;https://link.marktplaats.nl/m1552637504;51;true;;;true;;true;true;;;;true;true;true;true;true;11 februari 2010;;;true;157 km/h;true;true;;true;;13,7 km/l;true;;;;;;;;;;;;;;;;;;;;;;;;
27 september 2020;2008;Diesel;Gesloten Wagen;51-VVK-9;251889;;Volkswagen Transporter;1.896 cc;;5;;Handgeschakeld 5 versnellingen;1.9 TDI 300 T800;102;17 apr. '20, 18:07; Volkswagen Transporter 1.9 TDI 300 T800  Carrosserievorm: Bestelauto Transmissie: 5 versnellingen, Handgeschakeld Kleur: Grijs metallic Aandrijving: Voorwielaandrijving Aantal cilinders: 4 Ledig gewicht: 1.692 kg Laadvermogen: 908 kg GVW: 2.600 kg Wielbasis: 300 cm Bekleding: Stof Aantal zitplaatsen: 3 Aantal sleutels: 2 BTW: De getoonde prijs is exclusief BTW BTW/marge: BTW verrekenbaar voor ondernemers Motorrijtuigenbelasting: € 104 per kwartaal  Optiepakketten Elektrisch-pakket (Buitenspiegels elektrisch verstelbaar, Buitenspiegels verwarmbaar, Centrale deurvergrendeling met afstandsbediening, Elektrische ramen voor)  Comfort & Interieur Airco Boordcomputer Elektrische ramen voor Stuurbekrachtiging Stuur verstelbaar  Exterieur Achterklep met ruit Buitenspiegels elektrisch verstelbaar Buitenspiegels verwarmbaar Centrale deurvergrendeling met afstandsbediening Elektronisch sperdifferentieel Warmtewerend glas Zijschuifdeur rechts  Veiligheid ABS Airbag bestuurder Anti Blokkeer Systeem Anti Slip Control Automatisch Sper Differentieel Cruise control Parkeersensor achter Startblokkering Traction control  Overig Onderhoudsboekjes Trekhaak   Inruil mogelijk!  Overschrijven kan ook op Zaterdag en Zondag. Telefonisch dagelijks te bereiken van 10.00 tot 21.00 uur.  Dit is een meeneemprijs! hier komen geen extra kosten bij. Prijs is zonder inruil.  Automotive De Klipper B.V. Klipperstraat 116 2288BA RIJSWIJK Tel: 0628485675 E-mail: automotivedeklipper@hotmail.com;Rijswijk;9;https://link.marktplaats.nl/m1538226389;268;true;;true;true;;true;true;true;;;true;;true;true;true;15 september 2008;true;;true;;true;true;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;
20 juni 2020;2006;Diesel;Gesloten Wagen;36-BX-SV;343534;;Volkswagen Transporter;2.461 cc;;2695;;Handgeschakeld 6 versnellingen;2.5 TDI 300 Budgetline DC marge bel 0654216583;131;18 apr. '20, 11:28; Goed rijdende bus met dubbele schuifdeuren Margeauto Bij intresse bel 0654216583  Volkswagen Transporter 2.5 TDI 300 Budgetline DC marge bel 0654216583  Carrosserievorm: Bestelauto Transmissie: 6 versnellingen, Handgeschakeld Aandrijving: Voorwielaandrijving Aantal cilinders: 5 Ledig gewicht: 1.767 kg Laadvermogen: 800 kg GVW: 2.800 kg Wielbasis: 300 cm Bekleding: Stof Interieurkleur: Lichtgrijs Aantal zitplaatsen: 2 Onderhoudsboekjes: Aanwezig Aantal sleutels: 2 (2 handzenders) BTW/marge: BTW niet verrekenbaar voor ondernemers (margeregeling) Motorrijtuigenbelasting: € 109 per kwartaal  Optiepakketten Comfort-pakket (Buitenspiegels elektrisch verstelbaar, Buitenspiegels verwarmbaar, Centrale deurvergrendeling met afstandsbediening, Elektrische ramen voor)  Comfort & Interieur Elektrische ramen voor Radio Stuurbekrachtiging Stuur verstelbaar  Exterieur Achterklep met ruit Buitenspiegels elektrisch verstelbaar Buitenspiegels elektronisch verstelbaar Buitenspiegels verwarmbaar Centrale deurvergrendeling met afstandsbediening Elektronisch sperdifferentieel Warmtewerend glas Zijschuifdeur rechts  Veiligheid ABS Airbag(s) hoofd Airbag bestuurder Airbag passagier Anti Blokkeer Systeem Anti Slip Control Automatisch Sper Differentieel Cruise control Startblokkering Traction control  Overig centrale vergrendeling met afstandsbediening cruise-control elektrische ramen Navigatie radio-CD   Autobedrijf Oostpolder Oostpolderweg 11 4413NN KRABBENDIJKE Tel: 0113503388 Fax: 0113503389 E-mail: facturen@autobedrijfoostpolder.nl Wij zijn aangesloten bij de BOVAG;Krabbendijke;3;https://link.marktplaats.nl/m1538485748;166;true;;;true;;;;true;;true;true;true;;true;true;04 mei 2006;;;true;;true;true;;true;;;;;;true;;;;;;;;;;;;;;;;;;;;;
09 april 2020;2010;Diesel;Gesloten Wagen;4-VGN-95;160460;;Volkswagen Transporter;1.968 cc;;7445;;Handgeschakeld 5 versnellingen;2.0 TDI L1H1 / EC / AIRCO;86;19 mei '20, 13:54;"DEZE PRIJS IS EX BTW.

Volkswagen Transporter 2.0 TDI L1H1 / EC / AIRCO

Algemene gegevens

Tellerstand: 160.460 km
Carrosserievorm: Bestelauto
Aantal deuren: 4
Brandstofsoort: Diesel
Bouwjaar: feb 2010
Transmissie: 5 versnellingen, Handgeschakeld
Kleur: Wit
Onderhoudsboekjes: Aanwezig

Technische gegevens

Motorinhoud: 1.968 cc
Aantal cilinders: 4
Vermogen: 63 kW (86 PK)
Topsnelheid: 146 km/u
Acceleratie (0-100): 20,0 s
Wielbasis: 300 cm
Ledig gewicht: 1.662 kg
Laadvermogen: 938 kg
GVW: 2.600 kg
Max. trekgewicht: 2.200 kg

Functionaliteit

Aantal zitplaatsen: 2
Cabine: enkel
Lengte/hoogte: L1H1

Financiële gegevens

Motorrijtuigenbelasting: € 104 per kwartaal
BTW/Marge: excl. BTW
Oorspronkelijke cataloguswaarde: € 33.364


achterdeurengesloten
Airbag bestuurder
Airbag passagier
Airco
Alarm klasse 1(startblokkering)
Anti Blokkeer Systeem
Anti doorSlip Regeling
Boordcomputer
Derde remlicht
Elektronisch Sper Differentieel
Elektronisch Stabiliteits Programma
Getint glas
Navigatie
Radio cd speler
Trekhaak
Zijschuifdeur rechts


DEZE PRIJS IS EX BTW.

Autobedrijf Redenburg b.v. is al ruim 25 jaar het mobiliteitscentrum voor particulieren & bedrijven!

Wij hebben een zeer gevarieerd aanbod in occasions, de voorraad wisselt wekelijks!

De snel wisselende voorraad nodigt u uit om regelmatig een kijkje te nemen bij ons in de showroom. Misschien dat uw droom auto net binnen is gekomen!

Bekijk onze website voor het actuele aanbod!


! Al onze auto’s worden afgeleverd met een recente APK !

[KIJK VOOR DE JUISTE APK DATUM OP WWW.RDW.NL.]

! Wij berekenen geen afleveringskosten !

Altijd ruim 150 luxe & bedrijfs auto’s op voorraad!

Financial lease is mogelijk!

Evt. inruil mogelijk!

Voor autoverhuur, onderhoud & APK: www.autowitte.nl / 070-3999648

Openingstijden:
Ma t/m Do 10:00 – 18:00
Vrij 10:00 - 20:00
Za 10:00 – 17:00
Zo GESLOTEN


Tel. 070-4150444
E-mail: rijswijk@redenburg.nl
Website: http:/ /www.redenburg.nl
Snellerstraat 1 , 2288 GL , Rijswijk ZH";Rijswijk;0;https://link.marktplaats.nl/m1552900013;9;;;true;;;;true;;;true;true;true;true;true;true;11 februari 2010;;true;;146 km/h;true;true;;;;13,89 km/l;true;;;true;;;;;;;;;;;;;;;;;;;;;
27 september 2020;2007;Diesel;Gesloten Wagen;71-VDG-4;198887;;Volkswagen Transporter;2.460 cc;;7445;;Automaat 6 versnellingen;2.5 TDI 300;174;18 apr. '20, 12:04; Volkswagen Transporter 2.5 TDI 300   Kenteken: 71VDG4 APK tot: 27-09-2020 Tellerstand: 198887 KM Carrosserievorm: Bestel Aantal deuren: 5 Brandstofsoort: Diesel Bouwjaar: 2007 Transmissie: Automaat Kleur: grijs Metallic Motorinhoud: 2460 cc Aantal cilinders: 5 Motorcode: AXE, BPC Vermogen: 128 kW Ledig gewicht: 1767 kg Max. trekgewicht: 2500 kg Aantal zitplaatsen: 3 BTW/Marge: BTW aftrekbaar, de prijs is exclusief BTW Aantal sleutels: 2 Onderhoudshistorie aanwezig: Ja Motorrijtuigenbelasting: € 112 per kwartaal   Pakket: Comfort pakket Achterklep met ruit Achterruitwisser Airco Armsteun voor Buitenspiegels elektrisch verstel- en verwarmbaar Centrale deurvergrendeling met afstandsbediening Elektrische ramen voor Mistlampen voor  Pakket: Van of the Year pakket Boordcomputer  Pakket: 60 Edition leer pakket Cruise control Lederen bekleding  Pakket: Elektrisch pakket 2 Buitenspiegels elektrisch inklapbaar Buitenspiegels in carrosseriekleur  Pakket: Slecht weer pakket Ruitensproeiers verwarmbaar  Exterieur Achterdeuren met ruiten Buitenspiegels elektrisch verstelbaar Buitenspiegels verwarmbaar Bumpers in carrosseriekleur Koplampreiniging Lichtmetalen velgen Metaalkleur Parkeersensor voor en achter Trekhaak Warmtewerend glas Zijschuifdeur rechts  Interieur Houten vloer in laadruimte Lederen interieur Stuur verstelbaar Stuurbekrachtiging Tussenschot volledig Voorstoelen in hoogte verstelbaar  Overige ASR Anti Blokkeer Systeem Anti doorSlip Regeling Bestuurdersairbag ESD Elektronisch Sper Differentieel Passagiersairbag  Veiligheid Alarm klasse 1(startblokkering)   Prijs is ex btw en inruil is mogelijk verder is de AUTOMAATBAK EEN JAAR GELEDEN GEREVISEERD .Inruil is mogelijk.   Autoverkoopbedrijf v.d. Wal staat al meer dan 12 jaar bekend om zijn klantvriendelijke aanpak. Door simpele communicatie en afspraak = afspraak instelling hebben wij veel bezoekers van ons bedrijf met plezier mogen helpen. We hebben ons gespecialiseerd in personenauto’s en kleine en grote bedrijfswagens. Ons aanbod is vrij te bezichtigen op ons open terrein. Uiteraard zijn al onze auto’s voorzien van NAP en een onderhoudshistorie.   Gewoon goed advies en een goede prijs!  Tevens kunt u ons bereiken op 06-10911057 bij geen gehoor bellen 06-51577381 (Mark)  Autoverkoopbedrijf van der Wal St. Michaelsberch 11 8831ZM Winsum 06-10911057 info@autoverkoopbedrijf.nl  www.autoverkoopbedrijf.nl/;Winsum;7;https://link.marktplaats.nl/m1538512120;344;true;;true;true;true;true;true;true;;;true;true;true;true;true;04 januari 2007;true;true;true;;true;true;true;true;;;;true;;;;;;;;;;;;;;;;;;;;;;;
25 mei 2021;2006;Diesel;Gesloten Wagen;13-BZ-DZ;396806;;Volkswagen Transporter;2.460 cc;;2999;;Automaat 6 versnellingen;2.5 TDI 300;131;18 apr. '20, 12:05;" Volkswagen Transporter 2.5 TDI 300   Kenteken: 13-BZ-DZ APK tot: 25-05-2021 Tellerstand: 396806 KM Carrosserievorm: Bestel Aantal deuren: 4 Brandstofsoort: Diesel Bouwjaar: 2006 Transmissie: Automaat Kleur: wit Motorinhoud: 2460 cc Aantal cilinders: 5 Motorcode: AXD, BNZ Vermogen: 96 kW Ledig gewicht: 1767 kg Aantal zitplaatsen: 3 BTW/Marge: BTW aftrekbaar, de prijs is exclusief BTW Aantal sleutels: 1 Onderhoudshistorie aanwezig: Ja Motorrijtuigenbelasting: € 112 per kwartaal   Pakket: Comfort pakket Achterklep met ruit Airco Armsteun voor Buitenspiegels elektrisch verstel- en verwarmbaar Centrale deurvergrendeling met afstandsbediening Elektrische ramen voor  Pakket: Van of the Year pakket Boordcomputer  Exterieur Lichtmetalen velgen Lichtmetalen velgen 16"" Trekhaak Warmtewerend glas Zijschuifdeur rechts  Interieur Cruise control Houten vloer in laadruimte Stuur verstelbaar Stuurbekrachtiging Tussenschot volledig Voorstoelen in hoogte verstelbaar  Overige AIRCO/CRUISECONTROL/ELEC RAMEN ASR Anti Blokkeer Systeem Anti doorSlip Regeling Bestuurdersairbag ESD Elektronisch Sper Differentieel Passagiersairbag  Veiligheid Alarm klasse 1(startblokkering)   rijd en schakelt goed en de prijs is ex btw verder is inruil mogelijk en is de prijs zo mee.   Autoverkoopbedrijf v.d. Wal staat al meer dan 12 jaar bekend om zijn klantvriendelijke aanpak. Door simpele communicatie en afspraak = afspraak instelling hebben wij veel bezoekers van ons bedrijf met plezier mogen helpen. We hebben ons gespecialiseerd in personenauto’s en kleine en grote bedrijfswagens. Ons aanbod is vrij te bezichtigen op ons open terrein. Uiteraard zijn al onze auto’s voorzien van NAP en een onderhoudshistorie.   Gewoon goed advies en een goede prijs!  Tevens kunt u ons bereiken op 06-10911057 bij geen gehoor bellen 06-51577381 (Mark)  Autoverkoopbedrijf van der Wal St. Michaelsberch 11 8831ZM Winsum 06-10911057 info@autoverkoopbedrijf.nl  www.autoverkoopbedrijf.nl/";Winsum;4;https://link.marktplaats.nl/m1538512443;246;true;;true;true;true;;true;true;;;true;true;true;true;true;15 augustus 2006;;true;true;164 km/h;true;true;;true;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 mei 2020;2008;Diesel;Gesloten Wagen;29-VXB-3;299000;;Volkswagen Transporter;2.461 cc;;6500;Toon;Automaat 6 versnellingen;BESTEL 2.5 D 128KW DC AUT;174;18 apr. '20, 14:27; Vw T5 2.5 TDI 174 Pk automaat . Lederen bekleding ,,airco ,,schuif/kanteldak , LM velgen , eclectisch inklapbare verwarmde spiegels , stoelverwarming ,multivan bumpers koplampen achterlichten , cruisecontrol,trekhaak,achterruitenwissers. De bus heeft net een nieuwe APK , en 4 splinternieuwe banden . Let op !!! Prijs is exclusief BTW .;Prinsenbeek;32;https://link.marktplaats.nl/m1538621541;1419;;;;;;;true;;;;;;;;true;;;;;;;;;;;;;;;;;;;;;true;;;;;;;;;;;;;;;
